query,function,identifier,url,score
convert int to string,"public static Integer toInteger(String str) {
		try {
			return Integer.parseInt(str);
		} catch (Exception e) {
			return null;
		}
	}",StringUtils.toInteger,https://github.com/yangjm/winlet/blob/2126236f56858e283fa6ad69fe9279ee30f47b67/utils/src/main/java/com/aggrepoint/utils/StringUtils.java#L875-L881,1.3291171
convert int to string,"protected Integer toInteger(String intString) {
    if (isEmpty(intString)) {
      return null;
    }

    return Integer.parseInt(intString);
  }",GoogleAnalyticsRequest.toInteger,https://github.com/h2oai/h2o-2/blob/be350f3f2c2fb6f135cc07c41f83fd0e4f521ac1/src/main/java/water/ga/GoogleAnalyticsRequest.java#L150-L156,1.3255365
convert int to string,"public Integer convertStringToInteger(String value) {
        Integer result;
        try {
            result = Integer.valueOf(value);
        } catch (NumberFormatException e) {
            result = DEFAULT_INT_VALUE;
        }
        return result;

    }",NumberFormatContext.convertStringToInteger,https://github.com/teatrove/teatrove/blob/7039bdd4da6817ff8c737f7e4e07bac7e3ad8bea/teaapps/src/main/java/org/teatrove/teaapps/contexts/NumberFormatContext.java#L41-L50,1.3244742
convert int to string,"public static Integer asInteger(String value) {
        return value != null ? Integer.parseInt(value) : null;
    }",Configs.asInteger,https://github.com/fabric8io/fabric8-maven-plugin/blob/b0e7ad860a5bbe4ab71be3d0613862a1f14a8be3/core/src/main/java/io/fabric8/maven/core/util/Configs.java#L35-L37,1.323895
convert int to string,"protected static String toInteger(Object number) {
        String returnValue = null;
        if (number instanceof Integer) {
            Integer n = (Integer) number;
            returnValue = String.valueOf(n);
        }
        return returnValue;
    }",AbstractEntityWriter.toInteger,https://github.com/francesco-ficarola/gexf4j/blob/24199ed172c5457b2293cee4ec1c7a83910239f0/src/main/java/it/uniroma1/dis/wsngroup/gexf4j/core/impl/writer/AbstractEntityWriter.java#L26-L33,1.3238745
convert int to string,"final Integer convertStringToInt(final String value, final Integer defaultValue) {
        try {
            if (value != null) {
                return Integer.valueOf(value);
            }
        }
        catch (final NumberFormatException e) {
            // ignore
        }
        return defaultValue;
    }",HttpConnector.convertStringToInt,https://github.com/tracee/contextlogger/blob/ca7f0aee79a0993ab387a403561f760a7dc072e8/connectors/http-connector/src/main/java/io/tracee/contextlogger/connector/http/HttpConnector.java#L126-L136,1.3237523
convert int to string,"static public String IntegerToString(Integer value) {
    return (value == null) ? null : IntegerPrimitiveToString(value.intValue());
  }",ValueConverter.IntegerToString,https://github.com/marklogic/java-client-api/blob/acf60229a928abd4a8cc4b21b641d56957467da7/marklogic-client-api/src/main/java/com/marklogic/client/impl/ValueConverter.java#L439-L441,1.321885
convert int to string,"public static Integer toInteger(String string) {
    if (string == null) {
      return null;
    }

    try {
      return parseInt(string);
    } catch (Exception e) {
      return null;
    }
  }",StringUtils.toInteger,https://github.com/restfb/restfb/blob/fb77ba5486d1339e7deb81b9830670fa209b1047/src/main/java/com/restfb/util/StringUtils.java#L208-L218,1.3205799
convert int to string,"public Integer convertToInt(String value) {
        Integer result = null;
        if (value != null) {
            result = Integer.valueOf(value);
        }
        return result;
    }",StringFixture.convertToInt,https://github.com/fhoeben/hsac-fitnesse-fixtures/blob/4e9018d7386a9aa65bfcbf07eb28ae064edd1732/src/main/java/nl/hsac/fitnesse/fixture/slim/StringFixture.java#L111-L117,1.3199605
convert int to string,"public static int toInteger(@Nullable final String integerStr, final int defaultInteger) {
        return StringUtils.isNoneEmpty(integerStr) ? toInteger(integerStr) : defaultInteger;
    }",NumberUtilities.toInteger,https://github.com/CloudSlang/cs-actions/blob/9a1be1e99ad88286a6c153d5f2275df6ae1a57a1/cs-commons/src/main/java/io/cloudslang/content/utils/NumberUtilities.java#L186-L188,1.3198597
priority queue,"public static int getQueueSize() {
        if (instance != null && instance.executor != null) {
            return instance.executor.getQueue().size();
        } else {
            return 0;
        }
    }",GerritSendCommandQueue.getQueueSize,https://github.com/sonyxperiadev/gerrit-events/blob/9a443d13dded85cc4709136ac33989f2bbb34fe2/src/main/java/com/sonymobile/tools/gerrit/gerritevents/GerritSendCommandQueue.java#L127-L133,1.1214144
priority queue,"@Override
    public int queueSize() {
        try (Connection conn = jdbcHelper.getConnection()) {
            return queueSize(conn);
        } catch (Exception e) {
            throw e instanceof QueueException ? (QueueException) e : new QueueException(e);
        }
    }",JdbcQueue.queueSize,https://github.com/DDTH/ddth-queue/blob/b20776850d23111d3d71fc8ed6023c590bc3621f/ddth-queue-core/src/main/java/com/github/ddth/queue/impl/JdbcQueue.java#L815-L822,1.1208307
priority queue,"public int queueSize() {
        try {
            return (Integer) processor.getClass().getMethod(""size"").invoke(processor);
        } catch (IllegalAccessException | InvocationTargetException | NoSuchMethodException e) {
            // should never happen
            return 0;
        }
    }",StatsdMeterRegistry.queueSize,https://github.com/micrometer-metrics/micrometer/blob/127fa3265325cc894f368312ed8890b76a055d88/implementations/micrometer-registry-statsd/src/main/java/io/micrometer/statsd/StatsdMeterRegistry.java#L406-L413,1.1206158
priority queue,"public int getThreadsPriority()
    {
        int priority=Thread.NORM_PRIORITY;
        Object o=_pool.getAttribute(__PRIORITY);
        if(o!=null)
        {
            priority=((Integer)o).intValue();
        }
        return priority;
    }",ThreadPool.getThreadsPriority,https://github.com/webmetrics/browsermob-proxy/blob/a9252e62246ac33d55d51b993ba1159404e7d389/src/main/java/org/browsermob/proxy/jetty/util/ThreadPool.java#L269-L278,1.120012
priority queue,"@Override
    public int queueSize() {
        try (Channel channel = createChannel()) {
            return channel.queueDeclarePassive(getQueueName()).getMessageCount();
        } catch (Exception e) {
            throw e instanceof QueueException ? (QueueException) e : new QueueException(e);
        }
    }",RabbitMqQueue.queueSize,https://github.com/DDTH/ddth-queue/blob/b20776850d23111d3d71fc8ed6023c590bc3621f/ddth-queue-core/src/main/java/com/github/ddth/queue/impl/RabbitMqQueue.java#L324-L331,1.119914
priority queue,"public static int getQueueSize(SubscriberConfigProvider.SubscriberConfig subscribe) {
        int queueSize = subscribe.getQueueSize();
        if(queueSize <= 0) {
            queueSize = queueSizeDefault.get();
        }
        return queueSize;
    }",EventBusUtils.getQueueSize,https://github.com/Netflix/netflix-commons/blob/7a158af76906d4a9b753e9344ce3e7abeb91dc01/netflix-eventbus/src/main/java/com/netflix/eventbus/utils/EventBusUtils.java#L44-L50,1.1198094
priority queue,"@com.netflix.servo.annotations.Monitor(name = ""queueSize"", type = GAUGE)
  int getQueueSize() {
    return pool.getQueue().size();
  }",MonitoredThreadPool.getQueueSize,https://github.com/Netflix/servo/blob/d67b5afce8c50bd9e9e31c288dbf4b78fb2ac815/servo-core/src/main/java/com/netflix/servo/monitor/MonitoredThreadPool.java#L59-L62,1.1195432
priority queue,"private int getQueueSize(JobExecutorXml jobExecutorXml) {
    String queueSize = jobExecutorXml.getProperties().get(JobExecutorXml.QUEUE_SIZE);
    if (queueSize == null) {
      return DEFAULT_QUEUE_SIZE;
    }
    return Integer.parseInt(queueSize);
  }",StartManagedThreadPoolStep.getQueueSize,https://github.com/camunda/camunda-bpm-platform/blob/1a464fc887ef3760e53d6f91b9e5b871a0d77cc0/engine/src/main/java/org/camunda/bpm/container/impl/deployment/jobexecutor/StartManagedThreadPoolStep.java#L85-L91,1.1182944
priority queue,"@ManagedAttribute(description=""Sets the size of the remove queue; creates a new remove queue"")
    public void rqbRemoveQueueSize(int size) {
        if(size == queue_size) return;
        queue_size=size;
        remove_queue=new Message[queue_size];
    }",RemoveQueueBundler.rqbRemoveQueueSize,https://github.com/belaban/JGroups/blob/bd3ca786aa57fed41dfbc10a94b1281e388be03b/src/org/jgroups/protocols/RemoveQueueBundler.java#L41-L46,1.1174469
priority queue,"@Override
    @Probe(name = ""queueSize"", level = MANDATORY)
    public int getQueueSize() {
        int size = 0;
        for (PartitionOperationThread partitionThread : partitionThreads) {
            size += partitionThread.queue.normalSize();
        }
        size += genericQueue.normalSize();
        return size;
    }",OperationExecutorImpl.getQueueSize,https://github.com/hazelcast/hazelcast/blob/8c4bc10515dbbfb41a33e0302c0caedf3cda1baf/hazelcast/src/main/java/com/hazelcast/spi/impl/operationexecutor/impl/OperationExecutorImpl.java#L285-L294,1.1167108
