query,function,identifier,url,score
convert int to string,"def strings_to_integers(strings: Iterable[str]) -> Iterable[int]:
    """"""
    Convert a list of strings to a list of integers.

    :param strings: a list of string
    :return: a list of converted integers

    .. doctest::

        >>> strings_to_integers(['1', '1.0', '-0.2'])
        [1, 1, 0]
    """"""
    return strings_to_(strings, lambda x: int(float(x)))",strings_to_integers,https://github.com/singularitti/scientific-string/blob/615dca747e8fb1e89ed1d9f18aef4066295a17a9/scientific_string/strings.py#L39-L51,1.3018111
convert int to string,"def safe_int(string, default=None):
    """"""
    Safely parse a string into an int.

    On error return the ``default`` value.

    :param string string: string value to be converted
    :param int default: default value to be used in case of failure
    :rtype: int
    """"""
    value = safe_float(string, default)
    if value is not None:
        value = int(value)
    return value",safe_int,https://github.com/readbeyond/aeneas/blob/9d95535ad63eef4a98530cfdff033b8c35315ee1/aeneas/globalfunctions.py#L292-L305,1.2982
convert int to string,"def string_to_integer(value, strict=False):
    """"""
    Return an integer corresponding to the string representation of a
    number.

    @param value: a string representation of an integer number.

    @param strict:  indicate whether the specified string MUST be of a
        valid integer number representation.

    @return: the integer value represented by the string.

    @raise ValueError: if the string doesn't represent a valid integer,
        while the argument ``strict`` equals ``True``.
    """"""
    if is_undefined(value):
        if strict:
            raise ValueError('The value cannot be null')
        return None

    try:
        return int(value)

    except ValueError:
        raise ValueError('The specified string ""%s"" does not represent an integer' % value)",string_to_integer,https://github.com/dcaune/perseus-lib-python-common/blob/ba48fe0fd9bb4a75b53e7d10c41ada36a72d4496/majormode/perseus/utils/cast.py#L256-L280,1.2966472
convert int to string,"def str_to_long(value, base=10):
    if value is None:
        return None
    elif PY2:
        return long(value, base)  # noqa
    else:
        return int(value, base)",str_to_long,https://github.com/basho/riak-python-client/blob/91de13a16607cdf553d1a194e762734e3bec4231/riak/util.py#L144-L150,1.2951293
convert int to string,"def to_string(self, value: typing.Any) -> str:
        value = int(value)
        assert value >= 0, ""Negative integers are not supported""
        return str(value)",IntegerConvertor.to_string,https://github.com/encode/starlette/blob/d23bfd0d8ff68d535d0283aa4099e5055da88bb9/starlette/convertors.py#L44-L47,1.2930487
convert int to string,"def coerce_number(not_a_number):
    if isinstance(not_a_number, basestring):
        try:
            return long(not_a_number)
        except ValueError:
            return float(not_a_number)
    else:
        return float(not_a_number)",coerce_number,https://github.com/hearsaycorp/normalize/blob/8b36522ddca6d41b434580bd848f3bdaa7a999c8/normalize/property/types.py#L128-L135,1.2897077
convert int to string,"def covstr(strings):
    """""" convert string to int or float. """"""
    try:
        result = int(strings)
    except ValueError:
        result = float(strings)
    return result",covstr,https://github.com/toomore/grs/blob/a1285cb57878284a886952968be9e31fbfa595dd/grs/realtime.py#L33-L39,1.2894378
convert int to string,"def _to_number(cls, string):
        """"""Convert string to int or float.""""""
        try:
            if float(string) - int(string) == 0:
                return int(string)
            return float(string)
        except ValueError:
            try:
                return float(string)
            except ValueError:
                return string",IPMA_API._to_number,https://github.com/dgomes/pyipma/blob/cd808abeb70dca0e336afdf55bef3f73973eaa71/pyipma/api.py#L35-L45,1.28799
convert int to string,"def string_to_int( s ):
  """"""Convert a string of bytes into an integer, as per X9.62.""""""
  result = 0
  for c in s:
    if not isinstance(c, int): c = ord( c )
    result = 256 * result + c
  return result",string_to_int,https://github.com/espressif/esptool/blob/c583756c118039cfcfe256f7a3285618914d16a5/ecdsa/ecdsa.py#L169-L175,1.2877324
convert int to string,"def convert_to_integer(self, str):
        if str.startswith('0x') or str.startswith('0X'):
            return int(str, 16)
        elif str.startswith('2_'):
            return int(str[2:], 2)
        else:
            return int(str)",_Meta.convert_to_integer,https://github.com/DeepHorizons/iarm/blob/b913c9fd577b793a6bbced78b78a5d8d7cd88de4/iarm/arm_instructions/_meta.py#L126-L132,1.2869462
priority queue,"def serverInfo(self):
        return ServerInfo(
            self._serverName,
            time.time() - self._creationTime,
            self._ports.SERVER_HOSTNAME,
            self._ports.SERVER_REPLY_PORT)",ServerInfoable.serverInfo,https://github.com/lbusoni/plico/blob/08a29da8f06e920470516838878a51ac83bab847/plico/utils/serverinfoable.py#L19-L24,1.1142013
priority queue,"def enqueue(self, priority, msg):
        msg_tupl = (priority, msg)
        self._queue.put(msg_tupl)",VdpMsgPriQue.enqueue,https://github.com/openstack/networking-cisco/blob/aa58a30aec25b86f9aa5952b0863045975debfa9/networking_cisco/apps/saf/agent/vdp/dfa_vdp_mgr.py#L42-L44,1.1110505
priority queue,"def dump_logs(job_queue='run_reach_queue', job_status='RUNNING'):
    """"""Write logs for all jobs with given the status to files.""""""
    jobs = get_jobs(job_queue, job_status)
    for job in jobs:
        get_job_log(job, write_file=True)",dump_logs,https://github.com/sorgerlab/indra/blob/79a70415832c5702d7a820c7c9ccc8e25010124b/indra/util/aws.py#L199-L203,1.1083785
priority queue,"def disconnect(self, signal, slot):
        i = self.slots.pop(slot)
        self.device.unsubscribe_event(i)",_DeviceHelper.disconnect,https://github.com/tango-controls/pytango/blob/9cf78c517c9cdc1081ff6d080a9646a740cc1d36/tango/client.py#L62-L64,1.1080127
priority queue,"def __init__(self, weights, compare=lambda a, b: a < b):
        PriorityQueue.__init__(self, self._compare)
        self.weights = weights
        self.naive_compare = compare",IndexedPQ.__init__,https://github.com/kxgames/kxg/blob/a68c01dc4aa1abf6b3780ba2c65a7828282566aa/kxg/misc/map.py#L270-L273,1.1072073
priority queue,"def _compare(self,other):
        if self.y < other.y:
            return -1
        elif self.y > other.y:
            return 1
        elif self.x < other.x:
            return -1
        elif self.x > other.x:
            return 1
        else:
            return 0",Site._compare,https://github.com/karimbahgat/Pytess/blob/026d0c6bfc281361d850d9a44af1da6fed45b170/pytess/tesselator.py#L349-L359,1.1071551
priority queue,"def log(self, message, priority='D'):
        '''
        Logs a message with the specified priority.
        '''

        self.device.log('CULEBRA', message, priority, CulebraTestCase.verbose)",CulebraTestCase.log,https://github.com/dtmilano/AndroidViewClient/blob/7e6e83fde63af99e5e4ab959712ecf94f9881aa2/src/com/dtmilano/android/viewclient.py#L4643-L4648,1.1067963
priority queue,"def bury(self, priority=None):
        """"""Bury this job.""""""
        if self.reserved:
            self.conn.bury(self.jid, priority or self._priority())
            self.reserved = False",Job.bury,https://github.com/earl/beanstalkc/blob/70c2ffc41cc84b0a1ae557e470e1db89b7b61023/beanstalkc.py#L294-L298,1.1063541
priority queue,"def enqueue(self, data, priority=None):
        if priority:
            raise NotImplementedError('Task priorities are not supported by '
                                      'this storage.')
        self.conn.lpush(self.queue_key, data)",RedisStorage.enqueue,https://github.com/coleifer/huey/blob/416e8da1ca18442c08431a91bce373de7d2d200f/huey/storage.py#L401-L405,1.1061263
priority queue,"def _checksum(self, *data):
        csum = sum(data)
        csum ^= 0xff
        csum += 1
        csum &= 0xff
        return csum",IpmiServerContext._checksum,https://github.com/rhtyd/ipmisim/blob/3ffaad985354083eb451897971b3f016e5234929/ipmisim/ipmisim.py#L88-L93,1.1060851
string to date,"def _convert_date(date_string, date_format):
    """"""
    Convert a date in a given format to epoch time. Mostly a wrapper for
    datetime's strptime.
    """"""
    if date_format != 'epoch':
        return datetime.strptime(date_string, date_format).timestamp()
    else:
        return float(date_string)",_convert_date,https://github.com/LuminosoInsight/luminoso-api-client-python/blob/3bedf2a454aee39214c11fbf556ead3eecc27881/luminoso_api/v4_json_stream.py#L149-L157,1.1803589
string to date,"def dateStringToTimeValue(date):
    try:
        t = time.strptime(date, ""%Y/%m/%d %H:%M:%S"")
        return calendar.timegm(t)
    except ValueError:
        return 0",dateStringToTimeValue,https://github.com/googlefonts/ufo2ft/blob/915b986558e87bee288765d9218cc1cd4ebf7f4c/Lib/ufo2ft/fontInfoData.py#L510-L515,1.1763062
string to date,"def convert_date(value):
    if isinstance(value, datetime.datetime):
        return value
    if value:
        return isoparse(value)
    else:
        return None",convert_date,https://github.com/guaix-ucm/numina/blob/6c829495df8937f77c2de9383c1038ffb3e713e3/numina/util/convert.py#L24-L30,1.1761348
string to date,"def date_to_wending(date_string):
    dt = datetime.strptime(date_string, '%d %b %Y')
    return datarum.from_date(dt).strftime('{daeg} {month} {gere}')",date_to_wending,https://github.com/autophagy/insegel/blob/64815b086f4d46dcdc694457c713769b42c565f2/insegel/__init__.py#L22-L24,1.175339
string to date,"def dateToString(date):
    year  = numToDigits( date.year,  4 )
    month = numToDigits( date.month, 2 )
    day   = numToDigits( date.day,   2 )
    return year + month + day",dateToString,https://github.com/eventable/vobject/blob/498555a553155ea9b26aace93332ae79365ecb31/docs/build/lib/vobject/icalendar.py#L1556-L1560,1.1749347
string to date,"def convert_time_string(date_str):
    """""" Change a date string from the format 2018-08-15T23:55:17 into a datetime object """"""
    dt, _, _ = date_str.partition(""."")
    dt = datetime.strptime(dt, ""%Y-%m-%dT%H:%M:%S"")
    return dt",convert_time_string,https://github.com/jmbhughes/suvi-trainer/blob/3d89894a4a037286221974c7eb5634d229b4f5d4/suvitrainer/fileio.py#L29-L33,1.1747404
string to date,"def str_to_date(self, value):
        return datetime.datetime.strptime(value, self.DATE_FORMAT).date()",AbstractDate.str_to_date,https://github.com/disqus/gargoyle/blob/47a79e34b093d56e11c344296d6b78854ed35f12/gargoyle/conditions.py#L145-L146,1.1744237
string to date,"def _parse_date(string: str) -> datetime.date:
    """"""Parse an ISO format date (YYYY-mm-dd).

    >>> _parse_date('1990-01-02')
    datetime.date(1990, 1, 2)
    """"""
    return datetime.datetime.strptime(string, '%Y-%m-%d').date()",_parse_date,https://github.com/darkfeline/animanager/blob/55d92e4cbdc12aac8ebe302420d2cff3fa9fa148/animanager/migrations.py#L184-L190,1.1738399
string to date,"def stringToString(date,from_strfmt='%d%b%y',to_strfmt='%Y%m%d'):
	return dt.datetime.strftime(stringToDate(date,from_strfmt),to_strfmt)",stringToString,https://github.com/santosjorge/cufflinks/blob/ca1cbf93998dc793d0b1f8ac30fe1f2bd105f63a/cufflinks/date_tools.py#L58-L59,1.1733714
